Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor,valor,valor [M],Valor_m2_Barrio,Valor_m2_Millon,valor_m2,valor [m]
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 360.000.000,580000000.0,360.0,4572008.510026536,5142857.142857143,5979381.443298969,580.0
Casa,Casa en venta en Castilla,4,3,170,Castilla,KENNEDY: Castilla + Bavaria,$ 670.000.000,12790000000.0,670.0,3403589.3155258764,3941176.470588235,3951189.37287612,12790.0
Apartamento,Apartamento en venta en Chico Reservado,3,3,144,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.120.000.000,4967000000.0,1120.0,8104486.540013073,7777777.777777778,5683066.361556064,4967.0
Apartamento,Apartamento en venta en Usaquén,3,2,154,Usaquén,Usaquén,$ 890.000.000,22042650000.0,890.0,5655581.34903221,5779220.779220779,2816232.272901495,22042.65
Apartamento,Apartamento en venta en Bella Suiza,2,3,128,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 970.000.000,4712000000.0,970.0,6290550.7012394,7578125.0,4474833.808167142,4712.0
Apartamento,Apartamento en venta en Bella Suiza,1,2,62,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 510.000.000,259877762703.0,510.0,6290550.7012394,8225806.451612903,2959917.1141243065,259877.762703
Apartamento,Apartamento en venta en Bella Suiza,1,2,62,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 500.000.000,77147313800.0,500.0,6290550.7012394,8064516.129032258,6290550.7012394,77147.3138
Apartamento,Apartamento en venta en Bella Suiza,3,4,212,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 2.350.000.000,3610000000.0,2350.0,6290550.7012394,11084905.660377359,2522711.390635919,3610.0
Apartamento,Apartamento en venta en El Chicó,3,2,159,El Chicó,CHAPINERO: Chicó Lago + El Refugio,$ 850.000.000,1830000000.0,850.0,7648045.112781955,5345911.949685534,3407821.229050279,1830.0
Apartamento,Apartamento en venta en Bella Suiza,2,2,80,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 642.000.000,9763500000.0,642.0,6290550.7012394,8025000.0,5212760.277629471,9763.5
Apartamento,Apartamento en venta en Bella Suiza,2,2,80,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 652.000.000,93400560494.0,652.0,6290550.7012394,8150000.0,2677845.135869721,93400.560494
Casa,Casa en venta en Tintala,3,2,59,Tintala,Tintala,$ 168.000.000,940000000.0,168.0,3799199.244295887,2847457.627118644,1175000.0,940.0
Apartamento,Apartamento en venta en Tintala,2,1,45,Tintala,Tintala,$ 205.000.000,266000000.0,205.0,3799199.244295887,4555555.555555556,3166666.6666666665,266.0
